,text,title,url
16,"I was smoking a pack of Camel Lights each day – sometimes more. Nothing worked to quit – the gum, the patch… and especially cold turkey. I would run out of breath just crawling in to my bed. Walking up the 4 steps to my home. Playing with the dog outside. Not any more! Since switching to using a vaporizer, I can breath again. I can taste again. I feel a million times better! My skin cleared up, I no longer get sick every 3 months, and I’ve become more active in my life. Personal favorite flavors are from the “Suicide Bunny” group and the “Brewell” group!",What’s that smell?,http://vaping.info/news/2015/whats-smell
17,"Fifty years a smoker. Held my sister as she died from lung cancer. Even that didn’t make me quit. I tried hypnosis, the gum, the patch and every other quackery out there. Vaping did it. I was introduced to vaping last May and by October I was cigarette and nicotine free. I love the taste of my favorite flavors and it takes care of the hand to mouth addiction too. My oxygen intake is up, my bone density is up and I’ve grown 1/2 an inch at 65. If that isn’t a testimonial, I don’t know what is.",Mrs,http://vaping.info/news/2015/mrs
18,"My dad quit smoking over a decade ago and HATED my smoking. He was up visiting me for Christmas and without telling me he looked up some of the vape shops in the area. He kept hinting at me visiting me one of them. We went to a really cool shop and I picked out a vaporizer and some juice. I felt a little ridiculous using it at first. I planned to only use it until I was all out of juice and go back to smoking. Well, I ended up enjoying it more than smoking. It definitely tastes better than dirty cigarette smoke. My breathing is better and I don’t wake up coughing in the morning anymore. I enjoy skateboarding and biking more because I can go longer and not run out of breath. My teeth are cleaner and whiter and my skin cleared up after about a month. I’ve also saved a lot of money even after buying two mods and various tanks. It’s been a year so far, and I didn’t even want to switch…but I’m glad I did.",Helped me quit even when I didn’t want to.,http://vaping.info/news/2015/helped-quit-even-didnt-want
19,"I am a consumer of electronic cigarettes aka vaper, a primary stakeholder in this process. Regulations have advantages and then the negatives. These particular regulations will cause me actual financial, physical and personal harm. Physically in 1998 I was diagnosed with COPD I tried every available method to quit smoking. Not one worked I still continued to smoke. Since July 26th 2013 I have made the switch to vaping.
My COPD diagnosis is GONE My Pulmonary Doctor is THRILLED – yes GONE. He even tells other patients about this great alternative! My Primary Care Physician is amazed at my results of routine blood work.
My Cardiologist is thrilled, I no longer have Angina pectoris or spasms, no need to carry Nitroglycerine pills which lowered my medical prescriptions, a financial benefit. No more restriction in my lungs. I no longer get Bronchitus, sinus infections etc again less medical costs (Dr Appts and Rx’s)I breathe better, feel better, smell better and can go on walks with my dog, SCUBA Diving which I used to teach I had to give up. Now I can recreational Dive without having to come to the surface sooner due to better air consumption and so many more things that keep my active and healthy!Financially the cost alone has major benefits!! We live on a fixed income. Almost 30% of our monthly funds were going towards tobacco cigarettes. I tried so hard to cut down, cut back etc. ironically that only made me more anxious and want more. Now we have funds available for MUCH more pleasurable things to do. I eat better because food tastes better. I smell better I’m sure you get the idea now – even my vehicle smells better. Only one negative, I can now smell hand tobacco smoke from quite some distance and I am embarrassed to think I subjected family, friends and by-standers to that.I started smoked tobacco cigarettes over 39 YEARS ago (almost HALF my life!). I have tried time and time again to quit. Using everything from HRT produces patches, gum and rx meds (Buproprion, Nicotrol I had an allergic reactions. Chantix which was even worse Anaphylactic shock, which even after only 1 pill I still suffered nightmares, cold sweats and suicidal thought. If it was out there I tried it even to the extent of Acupuncture and Hypnosis. All failed for one reason or another. Enter early July 2013 .. I had picked up a cig-alike at a gas station was not great but gave me enough to make me do a LOT of research. Mainly on-line sites. Abundance of educational sites for new consumers to make the right choices. I was very lucky and made friends who helped me make the right choices as far as my first kit. I will say that even though I was a Menthol Tobacco smoker. I can not stand any menthol tobacco flavored e-liquid. Ironically Coffee flavored e-liquid was my first try I said ! YES THIS WILL DO IT !!? It DID!
I will celebrate my two year tobacco free. Due to quality flavors. Yes I use a Baked Cinnamon Roll, Strawberry Milk, Blue Raspberry, Blueberry fruits, Butterscotch candy flavors I like sweets, but the e-liquids do not give me weight gain. It’s wonderful to have the flavors without the calories! Had I been left to gas station type cig-alikes I would never have been able to quit. I don’t like any type of tobacco flavorings at ALL especially menthol tobacco. I use an atomizer, e-liquid and rechargeable batteries. If these products are no longer available to me. I sincerely fear I would truly have a hard time not going back to using tobacco products – which honestly I am truly afraid for my own overall health, well being and finances.Products such as Blu, Green Smoke etc are not satisfying. Over the course of the past year I have been successful in reducing the amount of nicotine I use additionally I have also lowered the amount of e-liquid used on a daily basis.This has been a fantastic, successful year for not only myself, but my Husband. He has been able to quit tobacco entirely. Vaping exclusively.
The good that this product does. I would never have believed this could work for me. Not only has it done exactly that – but I have over 34 friends who have also entirely quit smoking tobacco and use e-liquids, atomizers and rechargeable batteries with continued success.
My e-liquids are stored in safe places even though there are no children in my house, we do have pets that are just like children to us.
Capt Donna",Vaping Saved My Life !,http://vaping.info/news/2015/vaping-saved-life
20,"I was to the point I couldn’t sleep for more than a couple of hours and would wake up gasping for air. I come from a long line of smokers and I really didn’t think I could quit without becoming socially nasty and gaining a bunch of weight. I started vaping 8 months ago and have not had a desire to light a regular cigarette since and minimal weight gain. Within 3 days, I was sleeping peacefully throughout the night, able to walk and talk without wheezing, I feel great overall and no more nasty smoke smell on me or my clothes. Vaping has made my life so much better.",Success,http://vaping.info/news/2015/success
21,I have been helping people in the Vape industry in all aspects including purchasing their bulk inventory and bringing more people into their stores. I’ve also helped with the financing of clean rooms so they can get into the juice making game! I would like to offer my services to everyone here who feels they need them. Thank You. I vape. My family vapes. We all used to smoke before and stated having health issues. Thanks to the Vape industry we all are working to get healthy once again.,People in the Vape industry!,http://vaping.info/news/2015/people-vape-industry
22,Please don’t take yet another damper on smokers. We have already lost our rights to smoke in public places. I think that in the privacy of your own home you should be allowed to drink and smoke as much as you want. Have switched to cigs after almost 50 years as a 2 pack a day smoker. Yes I have COPD but that is between my doctor and me. It’s nobody else’s business to tell me how to run my life in my domicile even if I rent rather than own my home. To the surgeon general and any anti-vaping campaign please don’t take my cigs and vaping away. I have already made many concessions to appease anti smokers. Let me have the last right I have to buy and cape in my car and home. Please.,Ms.,http://vaping.info/news/2015/ms
23,"I am a 49 year old female who was a 2 pack a day smoker for 35 years. I thought I would die of lung cancer like my dad-I was addicted to cigarettes. My son introduced me to vaping right before Christmas 2014. Vaping helped me wean myself off nicotine and I no longer smoke cigarettes. At first I wanted a cigarette but as time went by the desire diminished. I tried a cigarette the other day and took one draw and it tasted horrible! I will vouch that vaping helped me stop smoking. If the urge hits I vape and I have cut back on that too. I breath better-I can take a deep breathe for the first time in years, I feel better, my eyes don’t water, food tastes better, and I can smell the flowers. The benefits of vaping far out weigh the dangers in my book!My family is no longer smokers and I’m Thankful!",My Life is Forever Changed for The Better!,http://vaping.info/news/2015/life-forever-changed-better
24,"This turned into a bit of a novel after reading back through it. For that I apologize, but I hope you enjoy. I’m 24 years old, and being that even before I was old enough to buy a pack of cigarettes (16-17 years old) I was smoking, I was on the road a lot, after finishing school, “chasing the dream” as a musician and more often than not our method of curbing a hungry stomach was to smoke, we ate when we could, but the smokes we our main focus. The most I had ever gotten up to was a pack a day. I got to the point that I was having issues breathing, really bad issues, I was getting out of breath going from one side of some of the smallest stages to the other, I couldn’t keep enough air in my lungs to sing half of what I was supposed to be singing, and that just not good at all. I coughed all of the time, and it just became socially awkward for me to be out with friends who didn’t smoke when I’d have to walk outside of where ever we were so that I could smoke and come back, then later in the evening repeat the process, normally more than just once. Quitting came for me in the form of cold turkey more times than I can remember, patches, gum, and even the blu e-cigs. I never really tried any of the prescription meds out there that supposedly were supposed to help, but everyone to whom I spoke about them were still smokers, so my mind was made up on that one very easily. No matter what I tried I never ended up quitting and I just remained a smoker. So, one day I was out and I got curious, I went into a vape shop, I didn’t have any intentions of quitting at that point, I just wanted to check it out because I’d seen the shops popping up a little bit of everywhere. I was greeted in the pleasant manner any employee at any retail shop would greet someone. He asked me if there was anything he could help me with and I just kind of said, “not really I just wanted to check this place out, since I’ve never been in a vape shop before.” Talking to the guy behind the counter, who even mentioned me flipping out my cig before walking in, he convinced me that vaping was something that I may be interested in checking out and learning about, so we set up in a spot at the end of the counter and he convinced me to come back the next day and buy a basic drip set up. He was a great salesman. I got my set up and figured that since I just dropped a pretty penny on this I should actually be serious and try to quit using vaping as my method. I started off vaping when I could, in the beginning it was a challenge for me, I was an hour into it and set up like a cloud chaser… I hit the fire button: I coughed… I hacked… I gagged… I realized that I needed to ease my way into this. So I vaped occasionally, and I’d still smoke a cigarette every now and then until I could just completely phase them out. I used really sweet, fruity flavors in the beginning, I still do occasionally, but right now I’m vaping on Coval’s Chocolate Doughnut. I started off at 12 mg of nicotine, and I’m down to just 3 mg, I’ve stayed steady where I’m at. I haven’t smoked a cigarette since a week after I first started vaping. I can barely stand the smell of cigarettes, let alone the taste, I took a hit from one that I found in my car and couldn’t do it, I wanted to vomit. Vaping has seriously helped me quit smoking, and I couldn’t be happier, nor could my family. Though some of them don’t think vaping is any better, but we are all entitled to our opinions, even if they are based on a lack of knowledge..",Vaping Helped Me Quit.,http://vaping.info/news/2015/vaping-helped-quit
25,"I smoked for 24 years. I’ve tried nicotine patches (actually had a nicotine overdose using those and DID NOT SMOKE while using them), nicotine gum, cold turkey…nothing worked for me. Vaping has. I’ve been smoke free for two months and have no desire to go back to smoking. I started out on 18mg ejuice and decreased to 6mg within the time I’ve been vaping. My goal is to get down to zero.
I can breathe so much better, I don’t stink, I don’t have to go outside and freeze to smoke anymore. Vaping has truly set me free.",Vaping is the only nicotine alternative out there that helped me quit smoking,http://vaping.info/news/2015/vaping-nicotine-alternative-helped-quit-smoking
26,Vaping saved my life from tobacco. I was burning through nearly 2 pack a day at one point and after about 10 years of poisoning myself I decided it was time to quite. Closed-system devices didn’t cut it for me. It was when I picked up an open-system device and some e-liquid that I finally kicked the habit and became smoke-free literally overnight.,My vaping testimonial,http://vaping.info/news/2015/vaping-testimonial
27,"In 2010 I was smoking 3 packs a day plus 3-10 cigars on any given day. I had severe uncontrolled Asthma, had just been diagnosed with having COPD and was pretty much unable to walk my dog or go up stairs without gasping for air. I had been smoking for 37 years. Wanted to stop but simply couldn’t with the available products on the market. I saw a friend using a device that looked like a box of some kind and so I asked about this device. It turned out to be one of the early “box mods” and he told me he had quit smoking in short order using this device. He suggested I also try to quit.
I ordered an eGo kit hopeful but not sure it would work. I also ordered a tasty fruity e-juice to use with the device
I thought if I could at least cut down on the amount I smoked I’d be happy right?
I got the kit in and it was quite different from smoking but it felt the same which is why it does work I believe.
Imagine my surprise when I found on the third day I could not stomach the taste ,smell or stink of a combustible cigarette!
In just those 3 days I only had one cigarette per day while using the vaporizer to quit. I substituted using the ecig every time I wanted a cigarette without any ill effects in regards to nicotine or smoking.
By the third day I had NO desire to smoke at all! ZERO!
My PCP tested me right before I quit smoking and my lung function was .2 which is horrible. After I had been quit a couple months we did another one and I had an almost perfect score at .24! She was amazed that I had been able to quit after all the methods we tried and failed with including every FDA approved drug and other methods. I had at least 15 cycles of quitting and failing utterly.
I am so grateful for discovering vapor products!
I would urge those wanting to ban these life saving devices to tread very lightly and stop being led by the CDC and WHO.
Over regulation will kill this industry and send us all back to smoking if we cannot get the products we believe we need.
A big thank you must also go out to Gregory Conley & the AVA who is helping to try and make evidence based facts a point of law regulating these life saving products!",I made the switch!,http://vaping.info/news/2015/made-switch
28,"My Name is Marcus Gunn, I am 43 years old and I started smoking when I was 12 years old. I was raised in a household where my Father, Grandfather, grandmother, uncles and aunt’s all smoked. Never really gave it a second thought as far as my health was concerned. As I became older and more concerned about my health, I spent YEARS trying EVERYTHING on the market to quit smoking and NOTHING worked. I tried the gums, patches and even pharmaceuticals such as Chantix and NOTHING worked. In fact, while taking Chantix, I had horrible nightmares, suffered from SEVERE depression and suicidal thoughts.
At the age of 34, while working my job, I suffered a back injury and found out that I have degenerative disc disease and had to undergo a series of surgeries which included spinal fusion which left me permanently disabled. After a few years of sitting around and not being able to do much of ANYTHING, I gained massive amounts of weight and ended up suffering a major heart attack. My doctors told me that unless I quit smoking and lost weight I probably wouldn’t live to be 50 years of age. This was one month prior to my 40th birthday. So now, not only did I want to quit smoking, I HAD TO QUIT!!! As previously stated, I had already tried EVERYTHING on the market to no success, then I found e-cigarettes. I ordered a kit and the VERY FIRST DAY I started using it I never touched another cigarette. VAPING SAVED MY LIFE!!! I had Gastric Bypass surgery, lost 200 lbs, quit smoking,had a few more back surgeries and now my doctors tell me that I can look forward to a long healthy life. I am in the best health I have been in since before I started smoking and my children are happy that I will be around for a long time. I AM PROOF THAT VAPING WORKS AND IS A HEALTHIER ALTERNATIVE TO SMOKING!!!!! I would even show my health records and just by looking at those you can see EXACTLY when I started vaping. I got off of cigs all because of vaping and I didn’t even use tobacco flavors, I vape fruit flavors or mint or caramel or whatever flavor I crave that day. Vaping even helped with my weight loss because instead of eating sweets, I can have a sweet flavored vape and curb that craving. I can honestly say that Vaping saved my life!!!",Vaping worked for me when NOTHING else did…,http://vaping.info/news/2015/vaping-worked-nothing-else
29,"I smoked 2 packs a day for 8 years. I was so addicted to everything about it and I loved smoking. I wasnt even able to quit during my pregnancies, I did cut back a significant amount but I could never fully quit. After trying everything from medication to the patch, I looked into vaping. I picked up my vape January 7th 2015 and have not touched or even wanted to touch another cigarette. Im spending 5 dollars a week and feel fabulous. I no longer smell like an ash tray, I feel healthier, and I love my new hobby. Vaping saved my life.",Smoke free!,http://vaping.info/news/2015/smoke-free
30,"I started raping a little over five and half years ago, how I got started it was a Sunday evening and I ran out of my inhalers for my asthma. Not one to go to the emergency room for the third time that week, my wife could started raping about two weeks prior using a Joye 510 e-cigarette with a menthol cartridge with 24 nicotine, I asked her if it was similar to a regular cigarette her response was no it was totally different, why it asked this question I’d never smoked, so I asked her how she uses it and I took a drawl off of it, but in cough right away, so took another longer drawl into my lungs even I was having trouble with my asthma handed it back to her about 3 to 4 minutes later I started coughing, as I was coughing a cop the wheeze that I had in my lungs causing me troubled to breathe since I was out of my rescue inhaler to help me I was good for the rest the night until I could go to the pharmacy to get me a new inhaler, about a month later withdrawn to a flea market and for some unknown reason I left my inhaler in the car and began to have trouble breathing again with my asthma, the wife jokingly asked me do I want to take a drag offer e-cigarette, thinking back to what happened, I said sure took a couple drags nothing really happened is was walking a few minutes later a started coughing again, again I’d coughed the wheeze out and felt a lot better and spent the next few hours walking around the flea market. As was going home we started talking the following week I picked me up a e-cigarette kit for myself because I didn’t mind doing wasn’t because I thought I was cool or that I’d fit in with the in crowd but I can tell that when I was using it I felt better. As time went on I noticed I wasn’t using the inhaler or my nebulizer machine and I wasn’t going to the are I’ve not used in inhaler in a little over five years also have not been to the ER for an asthma attack, please don’t think that because you have asthma this will work for you, it just happened to help me out with my breathing, I always keep a small bottle of menthol flavor around in case I feel little wheeze in my chest but other than that I use different flavored E juices and have had no bad effects from I will say I have dropped from the 24 nicotine to where I’m only using zero to 6 mg of nicotine in my vapor. This is my story baking is help me with my breathing, and I’ve seen it change my wife who was diagnosed with first stage COPD and last month when she had a checkup the doctor said that she didn’t have COPD anymore, is this because she quit smoking and went to vaping I don’t know, I’m just hoping to have her around longer because she is not smoking.",Why BigMoose vapes,http://vaping.info/news/2015/bigmoose-vapes
31,"I began smoking at age 14. I started trying to quit at 25. I am now 56. I tried gum, patches, snuff, various pills, cold turkey, and other methods. Nothing worked. In 2009, six years ago this May, I got my first ecig. I threw away my cigarettes the next day, and never bought another. Since then, I only accept a smoke socially, on the rare occasion I am surrounded by smokers (I call it ‘smoking in self defense’), but for all purposes of health and well-being I have quit. I started vaping 36% tobacco flavored nicotine liquid and over a number of months turned it down to where I am now, 3%. I almost immediately switched to a mild fruit flavor, which made the experience so much more pleasant than cigarettes that smoking began to disgust me, even in others. I am very careful to buy my liquid from reputable suppliers, always looking for those who test and disclose ingredients. My doctor, who has continually advised me to quit smoking, is very pleased, and encourages me to continue using the ecig. I can walk and exercise without running out of breath, even at 7000 feet. I don’t cough or wheeze any more and I almost never get sick. My home, car, and clothing smell good. I am happy that I can taste my food, and slightly less happy that I can smell all sorts of odors around me, of which I was previously unaware. My family is no longer exposed to my second-hand smoke. My non-smoking friends are thrilled, and welcome the tiny trace of fruit scent they can catch, occasionally and briefly, in the air around me. My smoking friends are dwindling: I can think offhand of eight people close to me who tried for years to quit smoking, and only succeeded when ecigs became available. I am sure that I have extended my life, but even more important, so grateful that its quality has improved in so many ways. All of this knowledge makes it frustrating and upsetting to hear the misinformation coming from the government and the media; my observations and experiences convince me thoroughly enough that I am willing to promise you that, when the results are in, they will show that ecigarettes extend and dramatically improve the lives of addicted smokers and those around them.","After 35 years, I have quit.",http://vaping.info/news/2015/35-years-quit
32,I am a registered voter and a supporter of the Anti-Smoking Alliance and the Pink Lung Brigade. I was a smoker for over 30 years and at 45 years old after trying everything from willpower to all of the patches and pills I finally quit smoking. For the last 5 or 6 years I was up to 3 packs a day and over 2 packs a day for most of the previous years. With vaping it took only 3 days for me to stop buying smokes. I have been smoke free for over 2 months and in that time my cough has subsided and my energy level has VASTLY improved to the point that my managers at work have noticed. My doctor even wondered where my wheeze in my lungs had gone. Since starting vaping I have joined a gym and lost 20 pounds. (also saving 800$ a month),2 months off of 3 packs a day,http://vaping.info/news/2015/2-months-off-3-packs-day
33,"I started smoking at 12 years old. I smoked for 21 years everyday 7 to 10 cigs. With the usage of E-cigs I was able to quit smoking in just two weeks. While I never tried anything else but cold turkey, I can tell you this was more effective than any other attempt that I had made. I think the best part of vaping is that as one progresses one eventually reduces their nicotine level, sometimes to zero. Vaping is a good way to quit, and an excellent hobby as well.",I quit smoking and I’m happy I did,http://vaping.info/news/2015/quit-smoking-im-happy
